
	ArArea	ArBreadth	ArCircularity	ArMajorAxisLength	ArPerimeter	ArRectangularity	ArSampledPoints
	1.81188	1.1918	15.181	2.03662	5.24462	0.746472	1.19523	2.5987
							1.27497	2.57981
							1.34352	2.53609
							1.39653	2.47376
							1.43318	2.40046
							1.45613	2.32241
							1.47281	2.24218
							1.48949	2.16194
							1.54169	2.10094
							1.60894	2.05411
							1.672	2.00214
							1.73006	1.94448
							1.77878	1.87876
							1.8165	1.80601
							1.84954	1.73119
							1.85998	1.65063
							1.86755	1.56931
							1.88528	1.48944
							1.89253	1.40806
							1.88348	1.32661
							1.8646	1.24691
							1.84415	1.16766
							1.80779	1.09422
							1.77144	1.02077
							1.73363	0.948377
							1.68403	0.883983
							1.63877	0.815759
							1.58355	0.756198
							1.51517	0.711731
							1.4429	0.673103
							1.36724	0.641844
							1.29082	0.612262
							1.2144	0.582679
							1.13636	0.561218
							1.05556	0.566152
							0.981086	0.59959
							0.921339	0.653748
							0.869349	0.717092
							0.817359	0.780435
							0.76537	0.843779
							0.744035	0.922213
							0.748835	1.0038
							0.760991	1.08484
							0.767127	1.1659
							0.755538	1.24703
							0.743949	1.32815
							0.73236	1.40927
							0.725783	1.49089
							0.721384	1.57272
							0.72084	1.65436
							0.733071	1.73539
							0.731729	1.81707
							0.722918	1.89833
							0.706204	1.97855
							0.695002	2.05945
							0.692812	2.14126
							0.707471	2.22189
							0.741832	2.29586
							0.785932	2.364
							0.842374	2.42341
							0.900543	2.48083
							0.967312	2.52834
							1.03825	2.56838
							1.11456	2.59772

	1.69061	1.18698	14.6124	1.89137	4.97029	0.753048	1.25974	2.75758
							1.3368	2.74958
							1.40601	2.71559
							1.46231	2.6621
							1.50751	2.6
							1.54529	2.53215
							1.58307	2.4643
							1.60782	2.39104
							1.65265	2.32773
							1.70781	2.27401
							1.76845	2.2255
							1.82065	2.16821
							1.86479	2.10484
							1.89534	2.03381
							1.91371	1.95879
							1.92101	1.88147
							1.93573	1.80528
							1.95173	1.72929
							1.96608	1.65307
							1.96603	1.57587
							1.94665	1.50139
							1.90799	1.43403
							1.86933	1.36668
							1.83068	1.29932
							1.78912	1.2338
							1.74477	1.17004
							1.69125	1.11384
							1.62941	1.06753
							1.56432	1.02518
							1.49922	0.98283
							1.42649	0.955922
							1.35493	0.92595
							1.28401	0.89451
							1.20892	0.874676
							1.13264	0.861385
							1.05894	0.879872
							0.993862	0.922249
							0.934566	0.97182
							0.8792	1.02628
							0.82738	1.08347
							0.790821	1.15165
							0.774911	1.22766
							0.774402	1.30507
							0.788972	1.381
							0.807808	1.45634
							0.813415	1.53239
							0.796779	1.60811
							0.781385	1.67998
							0.785859	1.75738
							0.801379	1.83339
							0.813826	1.90996
							0.821459	1.98718
							0.824582	2.06477
							0.820957	2.14235
							0.817332	2.21993
							0.814442	2.29745
							0.829048	2.37372
							0.852601	2.44748
							0.887313	2.51649
							0.932481	2.57946
							0.982334	2.63901
							1.04395	2.68577
							1.11003	2.72599
							1.18247	2.7521

	1.761	1.21644	15.0205	2.03571	5.14306	0.711136	1.3961	2.71212
							1.46555	2.67258
							1.52035	2.61503
							1.55497	2.54333
							1.58064	2.46718
							1.60631	2.39103
							1.63198	2.31488
							1.65765	2.23873
							1.69721	2.17083
							1.75485	2.11501
							1.81566	2.06249
							1.86187	1.99698
							1.89365	1.92375
							1.90981	1.8454
							1.92979	1.76822
							1.95948	1.69362
							1.97367	1.61453
							1.95969	1.53552
							1.93368	1.45972
							1.90478	1.38474
							1.87566	1.30985
							1.8382	1.23876
							1.80074	1.16766
							1.76125	1.09784
							1.71335	1.03332
							1.66544	0.968799
							1.60373	0.917396
							1.5384	0.870853
							1.46852	0.831505
							1.39581	0.797288
							1.32309	0.763071
							1.25038	0.728853
