
	ArArea	ArBreadth	ArCircularity	ArMajorAxisLength	ArPerimeter	ArRectangularity	ArSampledPoints
	2.29834	1.43257	14.4676	2.21127	5.7664	0.725534	1.29067	2.80694
							1.37597	2.77791
							1.44992	2.7278
							1.51384	2.666
							1.56169	2.58966
							1.60605	2.51138
							1.64532	2.43029
							1.67986	2.34865
							1.71479	2.26592
							1.76266	2.19018
							1.8282	2.12835
							1.88956	2.06275
							1.93968	1.98832
							1.96466	1.9031
							1.95132	1.8142
							1.95443	1.72431
							1.95456	1.63466
							1.96727	1.54752
							1.96369	1.45932
							1.9265	1.37725
							1.88387	1.29809
							1.83634	1.22154
							1.78882	1.145
							1.74129	1.06845
							1.69376	0.991904
							1.64117	0.919227
							1.57989	0.853168
							1.51676	0.789525
							1.43739	0.746867
							1.35803	0.70421
							1.27211	0.681624
							1.19107	0.643488
							1.1034	0.625101
							1.01412	0.613035
							0.928681	0.635443
							0.866515	0.699143
							0.818891	0.773798
							0.743573	0.822217
							0.666004	0.865945
							0.618711	0.939954
							0.597127	1.02679
							0.604625	1.11518
							0.611168	1.20374
							0.598552	1.29295
							0.585936	1.38216
							0.551339	1.46529
							0.53398	1.55324
							0.542843	1.64225
							0.56228	1.72977
							0.596033	1.81331
							0.629786	1.89684
							0.656507	1.98275
							0.672075	2.07124
							0.68226	2.16076
							0.692445	2.25029
							0.70263	2.33981
							0.724459	2.42657
							0.765987	2.50591
							0.824559	2.5733
							0.892582	2.63231
							0.965799	2.68482
							1.03902	2.73733
							1.11422	2.78603
							1.20085	2.80883
